aspect,negative,neutral,positive,total
Excelente calidad  y envío rápido,0,1,0,1
Excellant earphones,0,0,1,1
Excelentes para mi de las mejores cámaras de Amazon,0,1,0,1
Excelente soporte de escritorio para el ipad pro 11 en mi caso,0,1,0,1
Excellent External USB,0,0,1,1
Excellent External Hard drive,0,0,1,1
Excellent Easy-to-use high-quality product,0,0,1,1
Excellent Disk Drive,0,0,1,1
Excellent Device,0,0,1,1
Excellent Design,0,0,1,1
Excellent Dash camera,0,0,1,1
only 3 GB capacity,0,0,1,1
only 270 megabits,0,1,0,1
automatic sleep tracker,0,0,1,1
Excellent 4K and HD Camera,0,0,1,1
Excellent 3D performance,0,0,1,1
Excellent 1920x1080 display,0,0,1,1
Excellent - no complaints,0,0,1,1
Excellent (720p,0,0,1,1
Excellent  toolkit,0,0,1,1
only APPLE  replacements,1,0,0,1
only AMD,0,1,0,1
only 750Mbps,0,1,0,1
only 600GB,0,0,1,1
only 60 Hz,0,1,0,1
only 5 ft tall & 100 pounds,0,0,1,1
only 5 buttons,0,0,1,1
only Intel N1030,0,0,1,1
only DSLRs,0,1,0,1
only Blue Parrot headsets,1,0,0,1
only Otterbox,0,1,0,1
only ONE quality cable,0,1,0,1
only NOT Android,0,1,0,1
only LCDs,0,1,0,1
only a 4gig,0,1,0,1
only a 32g (plus SD card) device,0,1,0,1
only a 20 and 70 Mhz difference,0,1,0,1
only a 2.5 unit,0,0,1,1
"Exactly and advertised,excellent quality",0,0,1,1
Exact style,0,1,0,1
Exact remote,1,0,0,1
Excelent equipment,0,0,1,1
Excelent device,0,0,1,1
Excelent charger,0,0,1,1
Excellent Bluetooth headphones,0,0,1,1
Excellent Blu-ray player,0,0,1,1
Excelente quality,0,0,1,1
Excelente producto imagen resolución HD,0,1,0,1
Excelente para samsung Qled,0,1,0,1
Excelente keyboard,0,1,0,1
Excelente funda protectora para mis Sony XB33,0,1,0,1
Excelente cámara para monitoreo,0,1,0,1
Excelente calidad pero el sensor es muy sensible,0,1,0,1
"Excelente calidad , bastante flexible y envío rápido",0,1,0,1
only a 1x1 chain device,0,1,0,1
"only a 14"" laptop",0,1,0,1
only WiFi model,0,1,0,1
only WiFi,0,1,0,1
only Wi-Fi,0,1,0,1
only USB-C,0,1,0,1
only USB Cable,0,1,0,1
only USB C.<br,0,1,0,1
audiophiles period,0,0,1,1
audiophile.<br /><br />I,0,1,0,1
auto-sensing POE+,0,1,0,1
auto-chargers,0,0,1,1
auto tuning QoS features,0,0,1,1
auto parts stores,0,1,0,1
auto parts store,0,1,0,1
auto features,0,1,0,1
auto detect settings,0,0,1,1
auto battery,0,0,1,1
auto applications,0,1,0,1
auto and wall charging options,0,0,1,1
authentic sound quality,0,0,1,1
authentic radios,0,0,1,1
Exact parts,0,1,0,1
Exact Audio Copy,0,1,0,1
Everything cam,0,1,0,1
only a better designed OSD/HUD,0,0,1,1
only a VGA,0,1,0,1
only a USB charger,0,1,0,1
only a USB 2 interface,0,0,1,1
only a HDMI,0,1,0,1
only a AA battery,1,0,0,1
only a few connection options,1,0,0,1
only a few buttons,0,1,0,1
only a few USB,0,0,1,1
only a digital SLR camera,0,1,0,1
Everything Anker,0,1,0,1
Everyday BagHas all the feature,0,1,0,1
Every wire,0,1,0,1
"Every supposed ""fast"" charger",1,0,0,1
audioquest ones,0,1,0,1
only a single screwdriver,0,1,0,1
only a silicon case,0,0,1,1
Every aftermarket part,0,0,1,1
Every spec,0,1,0,1
Example Pioneer DEH-P6500MP,0,1,0,1
Exactly the right size memory,0,0,1,1
Exactly the model,0,0,1,1
Exactly the battery,0,1,0,1
"Exactly like shown, great quality",0,0,1,1
"Exactly as described, exact fit",0,0,1,1
Exactly as advertised and good quality,0,0,1,1
Every other usb cable,0,1,0,1
Every other charging cable,1,0,0,1
Evo 850 250 GB<br,0,1,0,1
Evga 680i,0,0,1,1
Everything setup,0,0,1,1
Every laptop,0,1,0,1
Even the video quality,0,0,1,1
Every design,0,0,1,1
Every cord,1,0,0,1
only a cassette player,0,1,0,1
only a mini USB port,0,1,0,1
only a micro USB,0,0,1,1
only a metal,0,1,0,1
only a manual one,0,1,0,1
only a little internal speaker,0,1,0,1
Every instrument,0,1,0,1
Every iPhone charger,1,0,0,1
Every single tech,0,0,1,1
Every radio and electronics hobbyist,0,1,0,1
only a high quality product,0,0,1,1
only a few wireless types,0,0,1,1
only a wifi,0,1,0,1
only a vga,0,1,0,1
only a two hundred gigabyte,0,0,1,1
only a standard keyboard,0,1,0,1
only a small lightweight ball head,0,1,0,1
only apple chargers,0,0,1,1
only an ocassional charge,1,0,0,1
only an analog tuner,0,1,0,1
only an FM & cassette drive,0,1,0,1
Every USB hub,0,1,0,1
Every Sony product,1,0,0,1
Every Bluetooth item,0,0,1,1
Every new technician,0,1,0,1
Every new kindle design,0,1,0,1
Every new device,0,1,0,1
Every manufacturer,0,1,0,1
WPA-2,0,1,0,1
Waterproof performance,0,0,1,1
Waterproof features,0,0,1,1
Waterproof electronics,0,0,1,1
Wasd Keyboards,0,0,1,1
Wasabi charger,0,0,1,1
Wasabi Power battery,0,1,0,1
WIRELESS VERY USEFUL THRU THE WHOLE HOUDE,0,0,1,1
Wacom products,1,0,0,1
Wacom MobileStudio,0,1,0,1
WTF monitor makers,1,0,0,1
audios,0,0,1,1
only a power cord,0,1,0,1
only a mount,0,1,0,1
only about 20 MBs,0,1,0,1
only a wireless N card,0,0,1,1
only buttons,0,0,1,1
only battery charger,0,1,0,1
only basic charging,0,1,0,1
only four easy buttons,0,1,0,1
Even the quality,0,0,1,1
Even the print quality,0,0,1,1
Even the pixels,1,0,0,1
Even the old computer,0,1,0,1
Even the noise cancellation,0,0,1,1
Every Alexa device,0,0,1,1
Even your phone.<br,0,0,1,1
Even wifi,1,0,0,1
Even the flat cable,0,1,0,1
Even the door bell buttons,0,0,1,1
Even the single wire,0,0,1,1
audífonos muy versátiles,0,1,0,1
Even the most expensive laptops,0,1,0,1
Even the magnetic charging cable end,0,1,0,1
Even the little satellite speakers,0,0,1,1
Even the headphones,0,0,1,1
only design,0,1,0,1
only cords,0,0,1,1
only connectivity,0,1,0,1
Even the screen protector,0,1,0,1
Even the right tools,0,0,1,1
Even the red USB charge port,0,0,1,1
only adapter,0,1,0,1
only about 5-6 GB,0,0,1,1
only about 260 MB,0,0,1,1
only certain parts,0,0,1,1
only caveat - documentation,1,0,0,1
only car radios,0,1,0,1
audiophile-grade sound quality,0,0,1,1
audiophile type use,0,0,1,1
audiophile type,0,0,1,1
audiophile quality sound,0,1,0,1
audiophile quality headphones,1,0,0,1
audiophile performance,0,1,0,1
authentic look,0,1,0,1
authentic leather,0,0,1,1
austor.<br /><br />Power consumption,0,0,1,1
aunque el transformador que le da la electricidad es bastante grande,0,0,1,1
only four buttons,0,1,0,1
only earbuds,0,1,0,1
Even the camera quick release plate exudes quality,0,0,1,1
Even the battery store,1,0,0,1
Even the nice rubber wire wrap,0,1,0,1
Even the newer models,1,0,0,1
only peripherals,0,0,1,1
only cloud storage,0,1,0,1
only missing feature,0,1,0,1
only limited computer skills use,0,0,1,1
only laptop computer,0,1,0,1
Even the Musicolet (music app) equalizer,0,1,0,1
Even the 2.4GHz band devices,0,1,0,1
Even some cables,0,1,0,1
Even the connectors,1,0,0,1
Even the charger,1,0,0,1
only good up to 32 GB,0,1,0,1
only good performance,0,0,1,1
only gigabit,1,0,0,1
audiophile ears,0,1,0,1
audiophile communities,1,0,0,1
audiofools,1,0,0,1
Even my most stubborn devices,0,1,0,1
Even my headphone's connector,0,1,0,1
only other MAC products,0,0,1,1
only one small part,0,0,1,1
only one significant design flaw,1,0,0,1
only one component,0,1,0,1
Even if its wireless,0,1,0,1
Even higher quality,0,0,1,1
Even digital 4:3 (480i) content,1,0,0,1
Even the battery cover,0,0,1,1
Even the audio quality,0,0,1,1
Even the apple ear pods,1,0,0,1
Even the WinTV 7 software,1,0,0,1
Even the Samsung original ones,0,1,0,1
only my phone,0,1,0,1
only phone,0,1,0,1
Wallet style case,0,1,0,1
Wall-mounted house phone,0,1,0,1
Wall charger,0,1,0,1
Way smaller and bigger sound,0,1,0,1
Way louder then the speakers,0,1,0,1
Way faster and much stronger signal,0,0,1,1
Way better then the original Apple ones,0,0,1,1
only outlets,0,1,0,1
only other feature,0,1,0,1
Even a zipper,0,1,0,1
Even a vintage MouseMan 3 button,0,1,0,1
Even a smaller laptop,0,1,0,1
Even a couple year old router,1,0,0,1
Even a complete firmware reset,1,0,0,1
Even my work register computer,0,1,0,1
Even my phone,0,1,0,1
only some plastic parts,0,0,1,1
only some laptops,0,1,0,1
Even Linksys support,1,0,0,1
Even Apple's cables,1,0,0,1
Even charges,0,0,1,1
Even better quality,0,0,1,1
Even batteries,1,0,0,1
Even basic designs,0,0,1,1
Even apps,0,0,1,1
Even an sd card,0,1,0,1
only rear camera,0,0,1,1
audio.<br />Recommended Content and Reading Lists,0,0,1,1
audio.<br /><br />Great product,0,0,1,1
audiophile level equipment,0,0,1,1
audiophile land,0,0,1,1
audiophile grade precision,0,0,1,1
only the OEM cables,1,0,0,1
only the Magic Rotation software,0,1,0,1
only the cables,1,0,0,1
only quality low loss,0,1,0,1
only the HDMI,0,1,0,1
only the HD video capabilities,0,1,0,1
only the GOTEK windows software,1,0,0,1
only the Arduino Uno,0,1,0,1
Ethernet product,1,0,0,1
Ethernet or 3D pictures,0,0,1,1
Ethernet adapters,0,1,0,1
Even a cheap kingston value series ssd,1,0,0,1
Even a cable box,0,1,0,1
only that port type,0,1,0,1
only that one device,0,1,0,1
only the USB plug,0,1,0,1
Etekcity's High Speed 10 Port USB Hub and Anker's powered 9 port USB,0,1,0,1
Estoy muy contenta con esta camara,0,0,1,1
Esthetically pleasant.<br />I,0,0,1,1
Este remplazo de batería calzó completamente con mi laptop Dell,0,1,0,1
only the arcam avr600,1,0,0,1
Essentially the more storage,0,0,1,1
Essential accessory,0,0,1,1
Especially those third party cords,0,1,0,1
Especially their audio cables,0,1,0,1
Especially the zoom,0,0,1,1
Especially the trackpad cover,0,1,0,1
European adapters,0,1,0,1
Etys equal detail,0,1,0,1
Etymotic ER4P phones,0,1,0,1
Ethernet&#34,0,1,0,1
Ethernet speeds,0,1,0,1
Way better quality product,0,0,1,1
Wave Pro Keyboard,0,1,0,1
Watt 5 Port USB,0,1,0,1
Weigh,0,1,0,1
WebOS phones,0,0,1,1
audio/video call,0,0,1,1
audio/motion,0,1,0,1
audio/Video equipment,1,0,0,1
only the cable,0,1,0,1
only the basic (free) features,0,1,0,1
only the audio cable,0,0,1,1
Especially rear camera,0,0,1,1
Especially older cameras,0,1,0,1
Especially blood oxygen monitor,0,0,1,1
Especial hard drive,0,1,0,1
Es un router de calidad,0,1,0,1
only the airpods,0,0,1,1
only the aesthetics,0,1,0,1
only the absolutely best materials,0,0,1,1
only the good brands,0,0,1,1
only the foam speaker,0,1,0,1
only the essential MSI utility programs,0,1,0,1
only the disc controller,0,0,1,1
only the devices,0,1,0,1
only the cleaning part,0,0,1,1
only the cameras,0,1,0,1
Equipo excelente original Mercedes Benz,0,1,0,1
audio<br />Perfect video clips,0,0,1,1
audio/visual,0,0,1,1
audio/video input,0,1,0,1
audio/video cords,0,1,0,1
Way better software,0,0,1,1
only the rk56 Mike,0,0,1,1
Entire unit,0,1,0,1
Enthusiast Series 750-Watt<br />Crucial 64 GB m4olid State Drive<br />Western Digital 1 TB Caviar Blue SATA III 7200 RPM,0,1,0,1
Entertainment Apps,0,1,0,1
Especially the sound,0,1,0,1
Especially the performance,0,1,0,1
Especially the newer models,0,1,0,1
Especially the fragile bluetooth,1,0,0,1
Especially the capability,0,1,0,1
Especially the GA300,0,0,1,1
Especially the 2+ amps,0,0,1,1
only the keyboard region,0,1,0,1
only the high end models,0,1,0,1
only the outdoor blink cameras,0,1,0,1
only the necessary components,0,0,1,1
Enough mounting hardware,0,1,0,1
Entertainment App,0,1,0,1
Enterprise quality,0,0,1,1
Enterprise features,0,1,0,1
Enterprise environments,0,0,1,1
Enterprise class equipment,0,1,0,1
Enough storage areas,0,1,0,1
Enough sound quality,0,1,0,1
Enough capacity,0,1,0,1
Enhanced software,0,0,1,1
Engineer,0,1,0,1
Es un producto de gran calidad,0,1,0,1
Es un monitor portable bueno,0,1,0,1
Es un excelente articulo y muy funcional para laptop,0,1,0,1
Es un buen producto y de calidad,0,1,0,1
Es genial tener opinión sobre los cables,0,1,0,1
Ergonomic designs,0,1,0,1
only the short-length cables,0,0,1,1
only the separate Utilities and Security software,0,1,0,1
only the security software,0,1,0,1
only the second wireless headphones,0,0,1,1
only the second motherboard purchase,0,1,0,1
only the screen,0,1,0,1
only this brand headphones,0,0,1,1
only their charger,0,1,0,1
only their cables,0,0,1,1
only the remote buttons,1,0,0,1
only the remote,0,1,0,1
only the rear speakers,0,0,1,1
only the rear case fan,0,0,1,1
Emulator,0,1,0,1
Emtec Bluetooth Earbuds kind,0,0,1,1
Emtec Bluetooth Earbuds,0,0,1,1
Elegant,0,0,1,1
Elegance,0,0,1,1
Electrónicos,0,1,0,1
Engenius Enstation5-AC,0,1,0,1
Energy efficiency,0,0,1,1
Energizer battery,0,1,0,1
Eneloop rechargables,0,1,0,1
EnStation5-AC,0,1,0,1
only the up/down volume buttons,0,1,0,1
only the plug configuration,0,1,0,1
only the tablet,0,1,0,1
only the switch,0,1,0,1
only the surge protector's cord,0,1,0,1
only the subwoofer,0,1,0,1
only the speaker,0,1,0,1
only the signal booster,0,1,0,1
"audio, video and image formats",0,1,0,1
WebCam,0,0,1,1
Web storage,0,1,0,1
Weather resistant and great looking skin,0,0,1,1
Well built and great quality,0,0,1,1
Well built and cool Velcro strap,0,0,1,1
Well built and compact emergency radio,0,0,1,1
"Well build, good quality",0,0,1,1
audio unsquelched about 80%,0,1,0,1
audio tecnica,0,0,1,1
audio tech ica,0,0,1,1
audiobooksbwhen,0,1,0,1
only the wireless,1,0,0,1
only the wire,0,1,0,1
Elegant and fun way,0,0,1,1
Elegant and durable case,0,0,1,1
operations manuals,0,0,1,1
only the traditional internet connection,0,1,0,1
only the the charger,0,1,0,1
only wifi version,0,1,0,1
only very basic functionality,1,0,0,1
only usb-c,0,1,0,1
only up to 42 MHz,1,0,0,1
Electronic components.<br,0,0,1,1
Electronic Noises,0,0,1,1
Electronic House,0,0,1,1
Electronic Hookswitch,0,1,0,1
Electronic Direct,0,1,0,1
Embalaje de buena calidad al igual que el producto,0,0,1,1
Elegante,0,1,0,1
Elegant monitor/TV,0,0,1,1
audio-technica,0,1,0,1
Electronic repairs,1,0,0,1
operating procedures,0,1,0,1
optical mouses,0,0,1,1
optical kit,0,0,1,1
optical equipment,0,0,1,1
Elegant look,0,0,1,1
only this mouse,0,0,1,1
open)<br />6 fingerprint,0,1,0,1
open source components,0,1,0,1
open mic,0,0,1,1
open device,0,1,0,1
open box charger and instant connect Awesome product,0,0,1,1
only' 256 Gb,0,1,0,1
only wireless-N devices,0,0,1,1
only wireless N.<br,0,1,0,1
optical & build quality,0,0,1,1
Well constructed and very professional looking,0,0,1,1
Well constructed / durable audio cable,0,0,1,1
"Well built, sturdy and great length",0,0,1,1
"Well built, quality materials",0,0,1,1
"Well built, perfect fit, great price",0,0,1,1
audio snobs,0,0,1,1
audio shops,0,0,1,1
audio-technica mic,0,0,1,1
audio-technica headphones,1,0,0,1
operation speed,1,0,0,1
Electric cables,0,1,0,1
Electric bass,0,0,1,1
Electri and Electronic :),0,1,0,1
El producto esta muy bien y manejable,0,1,0,1
Electronica Style Music,0,0,1,1
ElectronicX,0,1,0,1
"optical, HDMI cable.<br",0,0,1,1
optical drive.<br,0,0,1,1
Efficient use,0,0,1,1
Efficient,0,0,1,1
"Effective, respectable, nice shoulder strap",0,0,1,1
Electronic Controlled devices,0,1,0,1
Electro,0,0,1,1
Electrical systems,0,1,0,1
Electrical Engineering,0,1,0,1
optical design,0,0,1,1
optical clarity,0,0,1,1
optical as well as HDMI,0,1,0,1
Weight.<br,0,0,1,1
"Well constructed, great quality product",0,0,1,1
"Well constructed, clean and smooth sound",0,0,1,1
Well constructed remote,0,0,1,1
or so good quality,0,0,1,1
options.<br />Battery life,0,0,1,1
optimal quality,0,0,1,1
optimal details,0,1,0,1
optics quality,0,0,1,1
opticals,1,0,0,1
"optical, rear speakers",0,0,1,1
"EasyAcc 2nd gen 10,000mAh",0,0,1,1
Easy-to-read battery indicator,0,0,1,1
"Easy, straightforward controls",0,0,1,1
"Easy, portable and great sound",0,0,1,1
"Easy, fast and smooth application",0,0,1,1
El mejor organizador para cables,0,1,0,1
El audio no se escucha con claridad,0,1,0,1
Either a flash drive,0,1,0,1
"optical, component",1,0,0,1
Echo Flex devices,0,0,1,1
Ecellent mic,0,0,1,1
optional mounting hardware,0,0,1,1
optional fan controls,0,0,1,1
optical zoom features,0,1,0,1
optical tele,0,0,1,1
option speeds,0,0,1,1
optimum sound,0,0,1,1
optimum results,0,0,1,1
optimum known settings,0,0,1,1
optimized.<br,0,1,0,1
optimal/slower speeds,0,1,0,1
optimal visuals,0,0,1,1
optimal sound quality,0,0,1,1
or the USB-A.,0,1,0,1
or the Ethernet,0,1,0,1
orange eartips,0,1,0,1
original Nikon charger,0,1,0,1
original M-Audio,0,1,0,1
original JBL earpads.<br,0,1,0,1
original GoPro accessories.<br />Great product,0,0,1,1
options-- vehicle charger,0,1,0,1
optional video storage,0,0,1,1
optional security features,0,0,1,1
"Easy to use, quiet and good value",0,0,1,1
"Easy to use, portable and light weight",0,0,1,1
"Easy to use, no cables",0,0,1,1
"Easy to use, intuitive control buttons",0,0,1,1
"Easy to use, great sound",0,0,1,1
Edifier speakers,0,0,1,1
Edifier 1700BT,0,0,1,1
Echo Show devices,0,1,0,1
original camera,0,0,1,1
original buds,0,0,1,1
"Easy to use, easy to connect, good sound",0,0,1,1
"Easy to use, durable, great sound quality",0,0,1,1
"Easy to use, ample length",0,0,1,1
Easy to use and wonderful design,0,0,1,1
optional equipment,0,0,1,1
original 750MB,0,1,0,1
orginal better faster charge,0,0,1,1
organized - excellent photo quality - good battery life,0,0,1,1
ordinary rechargeable batteries,0,0,1,1
ordinary ear buds,1,0,0,1
ordinary chargers,0,0,1,1
ordinary cables,0,1,0,1
ordered(an older model,0,1,0,1
orchestra pit sound quality,0,1,0,1
Easy to use..perfect  size,0,0,1,1
"Easy to use, right length",0,0,1,1
original Sony,0,0,1,1
original Samsung,0,0,1,1
original OS,0,1,0,1
original laptop feet,0,0,1,1
original keyboard,0,0,1,1
original GoPro accessories,0,0,1,1
original DELL parts,0,1,0,1
original Canon battery,0,0,1,1
original Apple thing,0,0,1,1
original Apple products,0,1,0,1
original Apple keyboard,0,0,1,1
original Apple charger,0,0,1,1
original Apple OEM,0,0,1,1
original Apple,0,0,1,1
audio quality connection,0,1,0,1
audio tech headphones,0,1,0,1
audio tapes,0,0,1,1
audio system,0,1,0,1
Well Made.. Great Quality,0,0,1,1
Weighty,0,1,0,1
Weight<br />The pictures,1,0,0,1
Weight:<br />Well,0,1,0,1
Weight/size,0,1,0,1
Easy to use and very light weight,0,0,1,1
"Easy, clean design",0,0,1,1
Easy wireless setup,0,0,1,1
Easy volume control,0,1,0,1
Easy touch screen control and menu options,0,1,0,1
"Easy to wear, good sound",0,0,1,1
"Easy to wear, decent quality",0,0,1,1
original manufacturer parts,0,0,1,1
original hard drive,0,1,0,1
original fitbit zip tracker,0,0,1,1
original factory stereo,0,0,1,1
original equipment Nikon stuff,0,1,0,1
original ear pads,0,0,1,1
original charging plug,0,0,1,1
original charging cord(s,0,1,0,1
original specs,0,0,1,1
original sound,0,1,0,1
original screwdriver,0,1,0,1
Easy to use and great pictures,0,0,1,1
Easy to use and good sound quality,0,0,1,1
Easy to use and good quality,0,0,1,1
Easy to use and Awesome Sound,0,0,1,1
audio qualllityy,0,0,1,1
"other (eg, the Amazon brand) cable",0,1,0,1
other (Samsung) TVs,0,1,0,1
other 'dumb power' applications,0,0,1,1
other $400.00 GPS,1,0,0,1
"Easy to sync, comfortable and great sound",0,0,1,1
"Easy to setup, great sound quality",0,0,1,1
"Easy to setup, good pic",0,0,1,1
"Easy to use, great battery life",0,0,1,1
"Easy to use, good volume",0,0,1,1
"Easy to use, good sound quality, comfortable and acceptable battery life",0,0,1,1
"Easy to use, good quality",0,0,1,1
"Easy to use, good features",0,0,1,1
"Easy to use, glides",0,0,1,1
"Easy to use, excellent sounding",0,0,1,1
"Easy to use, easy to set up, never has defect",0,0,1,1
original memory boards,0,1,0,1
other 120Hz,0,1,0,1
other 1000$ compacts,0,1,0,1
Easy to run and great sound,0,0,1,1
"Easy to program, great info",0,0,1,1
"Easy to pause, switch devices",0,1,0,1
Easy to paired and good quality definitely good price,0,0,1,1
"Easy to pair, easy to use, long battery life",0,0,1,1
other  features,0,1,0,1
othe cables,0,0,1,1
othe USB cables,0,1,0,1
othe GPS brands,0,0,1,1
otg storage,0,0,1,1
otehr laptops,1,0,0,1
os computer,0,1,0,1
originally battery,0,1,0,1
"original, picture quality",0,0,1,1
Easy to use and great sound quality,0,0,1,1
Easy to use and great sound,0,0,1,1
Easy to use and great quality,0,0,1,1
other 1 Gbe adapters,0,1,0,1
other (more expensive) cables,0,0,1,1
other 5W radios.<br /><br />I,0,0,1,1
other 5.0 earbuds,0,0,1,1
other 5.0 MP cameras,0,1,0,1
other $30-$50 earbuds,0,0,1,1
"other ""tablet",0,0,1,1
"other ""mini or pico"" projectors",0,0,1,1
"other ""communication"" devices",1,0,0,1
"other ""budget"" hardware wallets",0,0,1,1
other 200+ headsets,0,0,1,1
other 200 AV Nano TrendNet Powerlines,0,0,1,1
other 14.1-inch laptops,0,0,1,1
audio purity,0,1,0,1
audio purists,0,0,1,1
audio production/engineering,0,1,0,1
audio ports,0,1,0,1
audio pics,0,0,1,1
audio perfection,0,0,1,1
audio set-ups,0,0,1,1
audio recording studios,0,1,0,1
audio recorders,0,1,0,1
Easy to pair and long battery life,0,0,1,1
Easy to use and very high quality pictures,0,0,1,1
Easy to use and very good camera quality,0,0,1,1
Easy to use and significantly more powerful signal,0,0,1,1
"Easy to use and setup, good range",0,0,1,1
Easy to use and long battery life,0,0,1,1
Easy to use and high quality,0,0,1,1
Easy to set up and good sound,0,0,1,1
other ASUS electronics,0,0,1,1
other 4k projectors,0,1,0,1
other 3rd party software,0,1,0,1
other 3rd party charger,1,0,0,1
other 3.2 MP cameras,0,1,0,1
other 25mm ball components,0,0,1,1
other 2133 mhz memories,1,0,0,1
other Android products,0,0,1,1
other Amazon related devices,0,0,1,1
other Alexa products,0,1,0,1
other Alexa devices,0,1,0,1
other Airpods,0,0,1,1
"Easy to install, sturdy, and attractive price",0,0,1,1
audio keys,0,0,1,1
audio interfaces,0,1,0,1
"Easy to install, Good application support",0,0,1,1
Easy to install and very heavy duty,0,0,1,1
"Easy to install, small portable",0,0,1,1
"Easy to install, responsive, no fingerprints",0,0,1,1
"Easy to install, reliable, fast, small profile",0,0,1,1
"Easy to install, perfect size",0,0,1,1
"Easy to install, perfect OEM item",0,0,1,1
"Easy to install, nice bright color",0,0,1,1
"Easy to setup, good motion detection",0,0,1,1
"Easy to setup, enough buttons",0,0,1,1
Easy to setup and good picture,0,0,1,1
Easy to set up; very good signal,0,0,1,1
Easy to set up.  seamless data storage,0,0,1,1
"Easy to set up, nice sound",0,0,1,1
"Easy to set up, excellent WiFi signal",0,0,1,1
Easy to set up and great video quality,0,0,1,1
other Bluetooth codecs,0,0,1,1
other Bluetooth audio needs,0,0,1,1
other ADATA RAM,0,1,0,1
other 75 dollar head phones,0,0,1,1
other 5v devices,0,1,0,1
other BT accessories,0,1,0,1
other Aux cords,1,0,0,1
other Asus wireless aimesh products,0,1,0,1
other Arduino projects,0,0,1,1
other Apple devices,0,1,0,1
other Anker power cords,0,0,1,1
other Anker charging cables,0,0,1,1
other Bluetooth keyboards,0,0,1,1
other Bluetooth devises,0,0,1,1
other Bluetooth device,0,1,0,1
"Easy to install, compact size",0,0,1,1
other GPS trackers,0,0,1,1
other GPS systems,0,0,1,1
other GPS functions,0,0,1,1
Easy to install and then strong Wi-Fi signal,0,0,1,1
"Easy to install and sturdy, sound bars",0,0,1,1
Easy to install and much smaller foot print,0,0,1,1
Easy to install and increased performance,0,0,1,1
Easy to pair & awesome range,0,0,1,1
"Easy to operator, great sound",0,0,1,1
Easy to operate and very clear picture,0,0,1,1
Easy to install<br />  Lightweight,0,0,1,1
Easy to install; Awesome performance,0,0,1,1
Easy to install....worth,0,0,1,1
"Easy to install,nice clear picture",0,0,1,1
"Easy to install, ultra slim",0,0,1,1
other Bluetooth connections,0,0,1,1
"Easy to install, long enough pigtails",0,0,1,1
"Easy to install, great quality",0,0,1,1
"Easy to install, great features",0,0,1,1
"Easy to install, great colors",0,0,1,1
"Easy to install, good sound",0,0,1,1
"Easy to install, good picture quality",0,0,1,1
"Easy to install, decent internet speed",0,0,1,1
other BT turntables,0,1,0,1
other Corsair products,0,1,0,1
other Conico security cameras,0,0,1,1
other Coby devices,0,0,1,1
other Chargers,0,0,1,1
other Car manufacturers,0,0,1,1
other Cable Matters products,0,0,1,1
other Bose models,0,0,1,1
other Garmin GPS,0,1,0,1
Well designed tablet,0,0,1,1
Well designed profuct,0,0,1,1
Well designed product,0,0,1,1
Well designed leather camera case,0,0,1,1
Well designed earbuds,0,0,1,1
Well designed case,0,0,1,1
audio louder.<br,0,0,1,1
audio laptop phone,0,1,0,1
other Foscam products,0,0,1,1
"Easy to hold, nice case",0,0,1,1
"Easy to handle , good buy",0,0,1,1
Easy to connect and great price,0,0,1,1
"Easy to configure, great features",0,0,1,1
"Easy to configure, Well-designed and use-friendly interface",0,0,1,1
Easy to back up and retrieve data.<br /><br />Many nice features,0,0,1,1
Easy synching,0,1,0,1
Easy to install & good quality,0,0,1,1
"Easy to hold, no slippery shell",0,0,1,1
other Lithium batteries cameras,0,1,0,1
other Definitive Technology speakers,0,0,1,1
other Itouch owners,0,0,1,1
other IT equipment,0,0,1,1
other IPAD devices,0,1,0,1
other HP equipment,0,1,0,1
other MP3 devices,0,0,1,1
other MOV(metal oxide varistor) surge protection circuits,0,0,1,1
other Logitech gear,0,0,1,1
"Well built, easy install",0,0,1,1
"Well built, durable enclosure",0,0,1,1
Well built stand,0,0,1,1
"Well designed, light weight",0,0,1,1
"Well designed, durable construction",0,0,1,1
other Mediabridge offerings,0,1,0,1
other MediaTek 8153 Gbe adapters,0,1,0,1
other MediaBridge products,0,1,0,1
other Shinekee cables,0,0,1,1
Easy set-up and reliable wifi connection,0,0,1,1
Easy set- up security camera,0,1,0,1
Easy screen,0,0,1,1
Easy portability,0,0,1,1
Easy playback,0,1,0,1
Easy pairing and decent sound,0,0,1,1
Easy to install and impressive size,0,0,1,1
Easy to install and great quality,0,0,1,1
Easy to install and great picture,0,0,1,1
Easy to install and good color,0,0,1,1
Easy to install and durable screen protector,0,0,1,1
"Easy to install , sound greats",0,0,1,1
Easy simple blue tooth connection,0,1,0,1
"Easy setup, many features",0,0,1,1
Easy setup decent picture,0,0,1,1
"Easy set-up, fabulous performance",0,0,1,1
Easy set-up and sleek design,0,0,1,1
other Processor,0,1,0,1
other Plantronics headsets,1,0,0,1
other Panasonic models,1,0,0,1
other Thinkpads,0,1,0,1
other LCDs,0,0,1,1
other PC products,0,0,1,1
other PC accessories,0,0,1,1
other Oculus Link cables,1,0,0,1
other OEM cables,0,1,0,1
other Nokias,0,1,0,1
other Moreno expensive models,0,0,1,1
other Sonys,0,1,0,1
other Sony users,0,0,1,1
other Sony cameras,0,0,1,1
other Sony batteries,0,0,1,1
other Sony,0,1,0,1
other USB cable suppliers,0,1,0,1
Easy and lite weight,0,0,1,1
Easy and immediate bluetooth,0,0,1,1
